"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Error test","ERROR","2019-01-17T22:25:29.699+05:30","0.0","0.12"
"First serenity test","Get all student","SUCCESS","2019-01-17T22:25:29.857+05:30","0.0","2.99"
"First serenity test","Manual test","PENDING","2019-01-17T22:25:32.850+05:30","0.0","0.0"
"First serenity test","This is failing test","FAILURE","2019-01-17T22:25:32.854+05:30","0.0","0.08"
"First serenity test","This is pending test","PENDING","2019-01-17T22:25:29.847+05:30","0.0","0.01"
